# Sat Feb 18 01:08:21 2017
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

21400 8 1.8252 13 0.631733 1.60689 
21500 8 1.95761 13 0.66127 1.6274 
21600 8 1.92791 12 0.72595 1.71347 
21700 8 1.78528 12 0.662672 1.63318 
21800 8 2.27759 12 0.615845 1.59963 
21900 8 1.90915 11 0.701415 1.67968 
22000 8 2.0155 12 0.697123 1.69654 
22100 8 2.07286 11 0.664097 1.65819 
22200 8 2.1122 11 0.68362 1.66657 
22300 8 2.11383 11 0.72675 1.73109 
22400 9 2.01847 12 0.694188 1.68872 
22500 9 2.40803 13 0.684453 1.69431 
22600 9 2.0742 13 0.712752 1.70081 
22700 9 2.10207 14 0.741945 1.76055 
22800 9 2.38685 14 0.668719 1.65389 
22900 9 2.26096 15 0.737273 1.74669 
23000 9 2.12019 14 0.758199 1.75725 
23100 8 2.2806 14 0.715756 1.72285 
23200 8 2.32151 14 0.712991 1.73878 
23300 9 2.06995 15 0.735268 1.74496 
23400 8 2.17619 13 0.780822 1.82526 
23500 8 2.07609 14 0.748129 1.77173 
23600 8 2.05014 13 0.833624 1.89987 
23700 8 2.02386 13 0.781712 1.80668 
23800 8 2.15746 14 0.832079 1.90271 
23900 8 2.24808 13 0.751622 1.78413 
24000 8 2.18892 13 0.821331 1.88189 
24100 8 2.29058 13 0.819644 1.88358 
24200 8 2.26263 14 0.778419 1.82673 
24300 8 2.36046 14 0.797455 1.86768 
24400 8 2.23049 13 0.714812 1.71975 
24500 8 2.27022 13 0.823595 1.88097 
24600 8 2.28533 15 0.687406 1.70037 
24700 8 2.27262 13 0.819159 1.90908 
24800 9 2.21086 15 0.794818 1.85079 
24900 9 2.24487 17 0.841667 1.93838 
25000 7 2.27023 15 0.840449 1.94337 
25100 7 2.13086 14 0.849616 1.92744 
25200 7 2.1485 15 0.875026 1.97756 
25300 8 2.32133 13 0.788535 1.8335 
25400 8 2.22011 14 0.880886 1.99608 
25500 9 2.16823 15 0.77469 1.80506 
25600 9 2.25797 15 0.860948 1.98098 
25700 9 2.47921 14 0.777588 1.83187 
25800 9 2.18244 15 0.936984 2.07183 
25900 9 2.31818 15 0.890921 1.99637 
26000 8 2.36969 15 0.855444 1.95375 
26100 8 2.21167 15 0.952413 2.08558 
26200 8 2.31176 16 0.8011 1.84529 
26300 8 2.13998 16 1.01807 2.19559 
26400 8 2.36298 15 0.832678 1.90973 
26500 8 2.03573 14 1.01375 2.20475 
26600 8 2.30071 14 0.922826 2.03561 
26700 8 2.18758 15 0.957738 2.12316 
26800 8 2.13412 16 0.961104 2.1212 
