# Avida deme replication data
# Sat Feb 18 01:08:21 2017
#  1: Update [update]
#  2: Number of deme replications [numrepl]
#  3: Mean deme gestation time [gesttime]
#  4: Mean number of births within replicated demes [numbirths]
#  5: Mean heritable merit of replicated demes [merit]
#  6: Mean generation of replicated demes [generation]
#  7: Mean density of replicated demes [density]

29600 99 260.788 243.242 1 86.101 1 
29700 82 281.585 280.366 1 84.9146 1 
29800 107 253.047 228.776 1 86.8785 1 
29900 80 262.712 253.1 1 87.0375 1 
30000 108 263.25 243.769 1 87.4352 1 
30100 92 259.12 241.837 1 88.1522 1 
30200 74 258.095 235.432 1 88.8919 1 
30300 106 252.962 230.434 1 88.9717 1 
30400 61 267.672 252.459 1 88.623 1 
30500 110 251.973 223.345 1 90.3727 1 
30600 73 266.027 253.63 1 89.5068 1 
30700 117 260.855 235.368 1 91.0256 1 
30800 76 263.75 245.447 1 90.9737 1 
30900 95 250.768 220.347 1 92.3895 1 
31000 94 250.596 223.149 1 92.2234 1 
31100 102 252.255 223.059 1 92.7451 1 
31200 89 251.27 227.64 1 93.3933 1 
31300 81 261.728 238.346 1 93.4568 1 
31400 103 252.087 228.146 1 94.3204 1 
31500 69 258.449 237.942 1 93.8986 1 
31600 101 254.386 227.515 1 95.4158 1 
31700 88 266.534 248.625 1 95.1818 1 
31800 104 248.587 219.875 1 95.875 1 
31900 74 250.405 222.27 1 96.5541 1 
32000 89 265.876 248.236 1 96.9326 1 
32100 98 267.561 249.878 1 97.1837 1 
32200 83 262.855 242.566 1 97.2289 1 
32300 72 249.514 227.014 1 98.4306 1 
32400 102 271.157 255.824 1 98.5784 1 
32500 89 249.854 217.674 1 99.1236 1 
32600 79 263.241 243.101 1 99.8481 1 
32700 117 241.231 212.966 1 100.308 1 
32800 79 264.81 243.899 1 100.532 1 
32900 92 253.402 231.837 1 101.174 1 
33000 82 281.305 273.89 1 100.976 1 
33100 114 260.272 239.5 1 101.86 1 
33200 75 263.973 248.893 1 102.28 1 
33300 85 246.741 220.788 1 103.341 1 
33400 100 253.5 229.43 1 102.63 1 
33500 84 266.321 251.774 1 103.821 1 
33600 78 263.526 247.551 1 104.115 1 
33700 81 271.728 262.309 1 103.667 1 
33800 105 259.933 240.705 1 105.076 1 
33900 68 271.471 254.721 1 105.279 1 
34000 97 252.082 227.577 1 105.402 1 
34100 89 279.685 271.607 1 106.169 1 
34200 78 248.603 225.551 1 107.205 1 
34300 87 262.874 238.931 1 106.184 1 
34400 85 264.8 253.553 1 107.988 1 
34500 82 259.988 239.073 1 107.988 1 
34600 86 259.837 241.326 1 108.279 1 
34700 78 284.782 276.795 1 108.821 1 
34800 95 249.537 230.284 1 109.463 1 
34900 80 278.675 263.663 1 109.05 0.9995 
35000 85 259.494 241.376 1 110.106 1 
35100 91 277.088 268.527 1 110.615 1 
35200 90 276.289 258.056 1 110.911 0.990222 
35300 73 265.205 252.493 1 110.959 0.998904 
35400 90 256.578 232.056 1 111.822 1 
35500 80 258.837 246.213 1 112.162 1 
35600 94 266.851 244.84 1 112.34 0.997447 
35700 86 255.174 230.419 1 113.686 0.990698 
35800 84 281.893 272.119 1 113.345 0.999524 
35900 103 258.796 240.893 1 113.505 1 
36000 52 266.808 259.308 1 114.365 1 
36100 113 245.982 218.035 1 115.186 1 
36200 70 289.786 291.7 1 114.271 1 
36300 114 249.018 216.228 1 116.465 0.992982 
36400 54 267.759 256.019 1 115.963 1 
36500 115 266.548 252 1 116.757 1 
